# Spy Painter word pairs: painter_word = what non-spy players see, spy_word = what the spy sees
# Add new pairs below - one per line, no spaces around commas
painter_word,spy_word
勇往直前,全力以赴
新年,跨年
牛奶,豆浆
烤肉,涮肉
壁纸,贴画
郭德纲,周立波
甄嬛传,红楼梦
男朋友,前男友
情人节,光棍节
沐浴露,沐浴盐
天天向上,非诚勿扰
刘诗诗,刘亦菲
语无伦次,词不达意
公交,地铁
同学,同桌
冠军,第一
图书馆,图书店
梁山伯与祝英台,罗密欧与朱丽叶
红烧牛肉面,香辣牛肉面
白菜,生菜
牛肉干,猪肉脯
泡泡糖,棒棒糖
小沈阳,宋小宝
谢娜张杰,邓超孙俪
薰衣草,满天星
生活费,零花钱
班主任,辅导员
福尔摩斯,工藤新一
气泡,水泡
电脑,ipad
剩女,御姐
流星花园,花样男子
蜘蛛侠,蝙蝠侠
富二代,高富帅
警察,捕快
神雕侠侣,天龙八部
口香糖,木糖醇
过山车,碰碰车
鸭舌帽,遮阳帽
双胞胎,龙凤胎
夏家三千金,感情睡醒了
脚踏车,自行车
若曦,晴川
橙子,橘子
首尔,东京
保安,保镖
唇膏,口红
福尔摩斯-工藤新一,福尔摩斯-柯南
结婚,订婚
近视眼镜,隐形眼镜
成吉思汗,努尔哈赤
纸巾,湿巾
海豚,海狮
打印机,扫描机
鱼香肉丝,四喜丸子
森马,以纯
杭州,苏州
包青天,狄仁杰
蝴蝶,蜜蜂
魔术师,魔法师
枕头,抱枕
降龙十八掌,九阴白骨爪
作家,编剧
丑小鸭,灰姑娘
端午节,中秋节
孟非,乐嘉
高跟鞋,增高鞋
金丝猴,大白兔
洗发露,护发素
葡萄,提子
小笼包,灌汤包
张韶涵,王心凌
反弹琵琶,乱弹棉花
铁观音,碧螺春
风扇,空调
玫瑰,月季
谢娜,李湘
龙凤呈祥,鸳鸯戏水
油条,麻花
玻璃,镜子
十面埋伏,四面楚歌
脸盆,水桶
作文,论文
面包,蛋糕
那英,韩红
婚纱,喜服
酸菜鱼,水煮鱼
果粒橙,鲜橙多
麦克风,扩音器
小矮人,葫芦娃
手机,座机
美人心计,倾世皇妃
状元,冠军
贵妃醉酒,黛玉葬花
辣椒,芥末
被子,床单
奖牌,金牌
胡子,眉毛
鼠目寸光,井底之蛙
饼干,薯片
小品,话剧
盒子,箱子
老佛爷,老天爷
吉他,琵琶
胖子,肥肉
妈妈,娘
水盆,水桶
哈密瓜,西瓜
两小无猜,青梅竹马
麻婆豆腐,皮蛋豆腐
夏家三千金,爱情睡醒了
自行车,电动车
动物,植物
绿茶,苦茶
饺子,包子
洗衣粉,皂角粉
纸巾,手帕
金庸,古龙
王菲,那英
董永,许仙
童话,神话
暗恋,备胎
太监,人妖
汉堡包,肉夹馍
饭桶,饭碗
积木,树木
元芳,展昭
土豆粉,酸辣粉
晨光,真彩
甄子丹,李连杰
干洗机,甩干机
卷发,直发
丝袜,秋裤
妻管严,吃软饭
宫锁心玉,宫锁珠帘
菠萝蜜,榴莲
沐浴露,护肤水
太阳伞,雨伞
蝴蝶,飞蛾
大便,臭豆腐
鹅毛,鸡毛
